b;tetrofile=/res/tetros.txt
p;x=24;y=20



w;0000000000000000000000000000000000000000000000000
w;0000001111111111111111111111111111111111111000000
w;0000001000100010001000100010001000100010001000000
w;0000001000000000000000000000000000000000001000000
w;0000001000100010001000100010001000100010001000000
w;0000001101110111011101110111011101110111011000000
w;0000001000100010001000100010001000100010001000000
w;0000001000000000000000000000000000000000001000000
w;0000001000100010001000100010001000100010001000000
w;0000001101110111011101110111011101110111011000000
w;0000001000100010001000100010001000100010001000000
w;0000001000000000000000000000000000000000001000000
w;0000001000100010001000100010001000100010001000000
w;0000001101110111011101110111011101110111011000000
w;0000001000100010001000100010001000100010001000000
w;0000001000000000000000000000000000000000001000000
w;0000001000100010001000100010001000100010001000000
w;0111111111111111111111110111111111111111111111110
w;0100000000000000000001000001000000000000000000010
w;0100000000000000000001000001000000000000000000010
w;0100000000000000000000000000000000000000000000010
w;0100000000000000000001000001000000000000000000010
w;0100000000000000000001000001000000000000000000010
w;0100000111111111111111110111111111111111110000010
w;0100000100000000000001000001000000000000010000010
w;0100000100000000000001000001000000000000010000010
w;0100000100000000000001000001000000000000010000010
w;0100000100000000000001000001000000000000010000010
w;0100000100000000000001000001000000000000010000010
w;0100000100000000000001000001000000000000010000010
w;0100000100000000000001000001000000000000010000010
w;0100000100000000000001000001000000000000010000010
w;0100000100000000000001000001000000000000010000010
w;0100000100000000000001000001000000000000010000010
w;0100000100000000000001000001000000000000010000010
w;0100000100000000000001000001000000000000010000010
w;0100000100000000000001000001000000000000010000010
w;0100000111111111111111000001111111111111110000010
w;0100000000000000000001000001000000000000000000010
w;0100000000000000000001000001000000000000000000010
w;0100000000000000000001000001000000000000000000010
w;0100000000000000000001000001000000000000000000010
w;0100000000000000000001000001000000000000000000010
w;0111111111111111111111110111111111111111111111110
w;0001000001000000100000000000000010000001000001000
w;0001000001000000100000000000000010000001000001000
w;0001000001111111100000000000000011111111000001000
w;0001000000000000100000000000000010000000000001000
w;0001000000000000100000000000000010000000000001000
w;0001000000000000000000000000000000000000000001000
w;0001000000000000100000000000000010000000000001000
w;0001000000000000100000000000000010000000000001000
w;0001111111111111100000000000000011111111111111000
w;0000000000000000100000000000000010000000000000000
w;0000000000000000111111111111111110000000000000000
w;0000000000000000000000000000000000000000000000000


###
